name,code,link,manager
国泰中证计算机主题ETF联接A,160224,http://fundf10.eastmoney.com/160224.html,艾小军
国泰中证计算机主题ETF联接C,010210,http://fundf10.eastmoney.com/010210.html,艾小军
国泰CES半导体芯片行业ETF联接A,008281,http://fundf10.eastmoney.com/008281.html,梁杏
国泰CES半导体芯片行业ETF联接C,008282,http://fundf10.eastmoney.com/008282.html,梁杏
国泰中证全指通信设备ETF联接A,007817,http://fundf10.eastmoney.com/007817.html,艾小军
国泰中证全指通信设备ETF联接C,007818,http://fundf10.eastmoney.com/007818.html,艾小军
国泰中证申万证券行业指数,501016,http://fundf10.eastmoney.com/501016.html,艾小军
国泰上证综合ETF联接C,011320,http://fundf10.eastmoney.com/011320.html,谢东旭
国泰上证综合ETF联接A,011319,http://fundf10.eastmoney.com/011319.html,谢东旭
国泰智能汽车股票C,011323,http://fundf10.eastmoney.com/011323.html,王阳
国泰医药健康股票C,011326,http://fundf10.eastmoney.com/011326.html,徐治彪
国泰大健康股票C,011321,http://fundf10.eastmoney.com/011321.html,徐治彪
国泰智能装备股票C,011322,http://fundf10.eastmoney.com/011322.html,王阳
国泰价值先锋股票A,011042,http://fundf10.eastmoney.com/011042.html,王阳
国泰价值先锋股票C,011043,http://fundf10.eastmoney.com/011043.html,王阳
国泰价值优选灵活配置混合,501064,http://fundf10.eastmoney.com/501064.html,郑有为
国泰江源优势精选混合A,005730,http://fundf10.eastmoney.com/005730.html,郑有为
国泰致远优势混合,009474,http://fundf10.eastmoney.com/009474.html,郑有为
国泰金鹏蓝筹混合,020009,http://fundf10.eastmoney.com/020009.html,胡松
国泰金鹿混合,020018,http://fundf10.eastmoney.com/020018.html,李海
国泰景气行业灵活配置混合,003593,http://fundf10.eastmoney.com/003593.html,杨飞
国泰研究精选两年持有混合,008370,http://fundf10.eastmoney.com/008370.html,徐治彪
国泰蓝筹精选混合A,008174,http://fundf10.eastmoney.com/008174.html,李恒
