2017-03-03,1.0000,1.0000,0%,封闭期,封闭期
2017-03-06,0.9999,0.9999,-0.01%,开放申购,开放赎回
2017-03-07,1.0000,1.0000,0.01%,开放申购,开放赎回
2017-03-08,1.0000,1.0000,0.00%,开放申购,开放赎回
2017-03-09,1.0001,1.0001,0.01%,开放申购,开放赎回
2017-03-10,1.0001,1.0001,0.00%,开放申购,开放赎回
2017-03-13,1.0002,1.0002,0.01%,开放申购,开放赎回
2017-03-14,1.0002,1.0002,0.00%,开放申购,开放赎回
2017-03-15,1.0002,1.0002,0.00%,开放申购,开放赎回
2017-03-16,1.0002,1.0002,0.00%,开放申购,开放赎回
2017-03-17,1.0004,1.0004,0.02%,开放申购,开放赎回
2017-03-20,1.0005,1.0005,0.01%,开放申购,开放赎回
2017-03-21,1.0007,1.0007,0.02%,开放申购,开放赎回
2017-03-22,1.0008,1.0008,0.01%,开放申购,开放赎回
2017-03-23,1.0009,1.0009,0.01%,开放申购,开放赎回
2017-03-24,1.0010,1.0010,0.01%,开放申购,开放赎回
2017-03-27,1.0010,1.0010,0.00%,开放申购,开放赎回
2017-03-28,1.0012,1.0012,0.02%,开放申购,开放赎回
2017-03-29,1.0013,1.0013,0.01%,开放申购,开放赎回
2017-03-30,1.0014,1.0014,0.01%,开放申购,开放赎回
2017-03-31,1.0015,1.0015,0.01%,开放申购,开放赎回
2017-04-05,1.0028,1.0028,0.13%,开放申购,开放赎回
2017-04-06,1.0050,1.0050,0.22%,开放申购,开放赎回
2017-04-07,1.0087,1.0087,0.37%,开放申购,开放赎回
2017-04-10,1.0019,1.0019,-0.67%,开放申购,开放赎回
2017-04-11,1.0138,1.0138,1.19%,开放申购,开放赎回
2017-04-12,1.0092,1.0092,-0.45%,开放申购,开放赎回
2017-04-13,1.0165,1.0165,0.72%,开放申购,开放赎回
2017-04-14,0.9997,0.9997,-1.65%,开放申购,开放赎回
2017-04-17,0.9832,0.9832,-1.65%,开放申购,开放赎回
2017-04-18,0.9717,0.9717,-1.17%,开放申购,开放赎回
