2020-11-04,1.0000,1.0000,0%,封闭期,封闭期
2020-11-05,1.0000,1.0000,0.00%,开放申购,开放赎回
2020-11-06,1.0000,1.0000,0.00%,开放申购,开放赎回
2020-11-09,1.0000,1.0000,0.00%,开放申购,开放赎回
2020-11-10,0.9999,0.9999,-0.01%,开放申购,开放赎回
2020-11-11,1.0000,1.0000,0.01%,开放申购,开放赎回
2020-11-12,0.9999,0.9999,-0.01%,开放申购,开放赎回
2020-11-13,0.9986,0.9986,-0.13%,开放申购,开放赎回
2020-11-16,0.9997,0.9997,0.11%,开放申购,开放赎回
2020-11-17,0.9995,0.9995,-0.02%,开放申购,开放赎回
2020-11-18,1.0006,1.0006,0.11%,开放申购,开放赎回
2020-11-19,1.0017,1.0017,0.11%,开放申购,开放赎回
2020-11-20,1.0017,1.0017,0.00%,开放申购,开放赎回
2020-11-23,1.0030,1.0030,0.13%,开放申购,开放赎回
2020-11-24,1.0020,1.0020,-0.10%,开放申购,开放赎回
2020-11-25,1.0000,1.0000,-0.20%,开放申购,开放赎回
2020-11-26,1.0011,1.0011,0.11%,开放申购,开放赎回
2020-11-27,1.0028,1.0028,0.17%,开放申购,开放赎回
2020-11-30,1.0015,1.0015,-0.13%,开放申购,开放赎回
2020-12-01,1.0058,1.0058,0.43%,开放申购,开放赎回
2020-12-02,1.0065,1.0065,0.07%,开放申购,开放赎回
2020-12-03,1.0054,1.0054,-0.11%,开放申购,开放赎回
2020-12-04,1.0054,1.0054,0.00%,开放申购,开放赎回
2020-12-07,1.0029,1.0029,-0.25%,开放申购,开放赎回
2020-12-08,1.0014,1.0014,-0.15%,开放申购,开放赎回
2020-12-09,0.9972,0.9972,-0.42%,开放申购,开放赎回
2020-12-10,0.9975,0.9975,0.03%,开放申购,开放赎回
2020-12-11,0.9942,0.9942,-0.33%,开放申购,开放赎回
2020-12-14,0.9987,0.9987,0.45%,开放申购,开放赎回
2020-12-15,0.9995,0.9995,0.08%,开放申购,开放赎回
2020-12-16,1.0016,1.0016,0.21%,开放申购,开放赎回
2020-12-17,1.0043,1.0043,0.27%,开放申购,开放赎回
2020-12-18,1.0015,1.0015,-0.28%,开放申购,开放赎回
2020-12-21,1.0043,1.0043,0.28%,开放申购,开放赎回
2020-12-22,0.9983,0.9983,-0.60%,开放申购,开放赎回
2020-12-23,1.0002,1.0002,0.19%,开放申购,开放赎回
2020-12-24,0.9975,0.9975,-0.27%,开放申购,开放赎回
2020-12-25,1.0005,1.0005,0.30%,开放申购,开放赎回
2020-12-28,0.9998,0.9998,-0.07%,开放申购,开放赎回
2020-12-29,0.9988,0.9988,-0.10%,开放申购,开放赎回
2020-12-30,1.0021,1.0021,0.33%,开放申购,开放赎回
2020-12-31,1.0063,1.0063,0.42%,开放申购,开放赎回
2021-01-04,1.0091,1.0091,0.28%,开放申购,开放赎回
2021-01-05,1.0113,1.0113,0.22%,开放申购,开放赎回
2021-01-06,1.0140,1.0140,0.27%,开放申购,开放赎回
2021-01-07,1.0185,1.0185,0.44%,开放申购,开放赎回
2021-01-08,1.0207,1.0207,0.22%,开放申购,开放赎回
2021-01-11,1.0178,1.0178,-0.28%,开放申购,开放赎回
2021-01-12,1.0231,1.0231,0.52%,开放申购,开放赎回
2021-01-13,1.0228,1.0228,-0.03%,开放申购,开放赎回
2021-01-14,1.0193,1.0193,-0.34%,开放申购,开放赎回
2021-01-15,1.0200,1.0200,0.07%,开放申购,开放赎回
2021-01-18,1.0236,1.0236,0.35%,开放申购,开放赎回
2021-01-19,1.0219,1.0219,-0.17%,开放申购,开放赎回
2021-01-20,1.0241,1.0241,0.22%,开放申购,开放赎回
2021-01-21,1.0280,1.0280,0.38%,开放申购,开放赎回
2021-01-22,1.0283,1.0283,0.03%,开放申购,开放赎回
2021-01-25,1.0298,1.0298,0.15%,开放申购,开放赎回
2021-01-26,1.0232,1.0232,-0.64%,开放申购,开放赎回
2021-01-27,1.0250,1.0250,0.18%,开放申购,开放赎回
2021-01-28,1.0162,1.0162,-0.86%,开放申购,开放赎回
2021-01-29,1.0128,1.0128,-0.33%,开放申购,开放赎回
2021-02-01,1.0149,1.0149,0.21%,开放申购,开放赎回
2021-02-02,1.0197,1.0197,0.47%,开放申购,开放赎回
2021-02-03,1.0173,1.0173,-0.24%,开放申购,开放赎回
2021-02-04,1.0150,1.0150,-0.23%,开放申购,开放赎回
2021-02-05,1.0141,1.0141,-0.09%,开放申购,开放赎回
2021-02-08,1.0167,1.0167,0.26%,开放申购,开放赎回
2021-02-09,1.0226,1.0226,0.58%,开放申购,开放赎回
2021-02-10,1.0258,1.0258,0.31%,开放申购,开放赎回
2021-02-18,1.0263,1.0263,0.05%,开放申购,开放赎回
2021-02-19,1.0260,1.0260,-0.03%,开放申购,开放赎回
2021-02-22,1.0247,1.0247,-0.13%,开放申购,开放赎回
2021-02-23,1.0257,1.0257,0.10%,开放申购,开放赎回
2021-02-24,1.0226,1.0226,-0.30%,开放申购,开放赎回
2021-02-25,1.0241,1.0241,0.15%,开放申购,开放赎回
2021-02-26,1.0198,1.0198,-0.42%,开放申购,开放赎回
2021-03-01,1.0232,1.0232,0.33%,开放申购,开放赎回
2021-03-02,1.0236,1.0236,0.04%,开放申购,开放赎回
2021-03-03,1.0268,1.0268,0.31%,开放申购,开放赎回
2021-03-04,1.0238,1.0238,-0.29%,开放申购,开放赎回
2021-03-05,1.0230,1.0230,-0.08%,开放申购,开放赎回
2021-03-08,1.0202,1.0202,-0.27%,开放申购,开放赎回
2021-03-09,1.0164,1.0164,-0.37%,开放申购,开放赎回
2021-03-10,1.0164,1.0164,0.00%,开放申购,开放赎回
2021-03-11,1.0208,1.0208,0.43%,开放申购,开放赎回
2021-03-12,1.0222,1.0222,0.14%,开放申购,开放赎回
2021-03-15,1.0201,1.0201,-0.21%,开放申购,开放赎回
2021-03-16,1.0220,1.0220,0.19%,开放申购,开放赎回
2021-03-17,1.0215,1.0215,-0.05%,开放申购,开放赎回
2021-03-18,1.0226,1.0226,0.11%,开放申购,开放赎回
2021-03-19,1.0189,1.0189,-0.36%,开放申购,开放赎回
2021-03-22,1.0212,1.0212,0.23%,开放申购,开放赎回
2021-03-23,1.0188,1.0188,-0.24%,开放申购,开放赎回
2021-03-24,1.0161,1.0161,-0.27%,开放申购,开放赎回
