2020-02-18,1.1440,1.9624,0%,封闭期,封闭期
2020-02-19,1.1357,1.9541,-0.73%,开放申购,开放赎回
2020-02-20,1.1591,1.9775,2.06%,开放申购,开放赎回
2020-02-21,1.1742,1.9926,1.30%,开放申购,开放赎回
2020-02-24,1.1891,2.0075,1.27%,开放申购,开放赎回
2020-02-25,1.1928,2.0112,0.31%,开放申购,开放赎回
2020-02-26,1.1549,1.9733,-3.18%,开放申购,开放赎回
2020-02-27,1.1639,1.9823,0.78%,开放申购,开放赎回
2020-02-28,1.1186,1.9370,-3.89%,开放申购,开放赎回
2020-03-02,1.1467,1.9651,2.51%,开放申购,开放赎回
2020-03-03,1.1559,1.9743,0.80%,开放申购,开放赎回
2020-03-04,1.1585,1.9769,0.22%,开放申购,开放赎回
2020-03-05,1.1605,1.9789,0.17%,开放申购,开放赎回
2020-03-06,1.1588,1.9772,-0.15%,开放申购,开放赎回
2020-03-09,1.1484,1.9668,-0.90%,开放申购,开放赎回
2020-03-10,1.1559,1.9743,0.65%,开放申购,开放赎回
2020-03-11,1.1521,1.9705,-0.33%,开放申购,开放赎回
2020-03-12,1.1433,1.9617,-0.76%,开放申购,开放赎回
2020-03-13,1.1390,1.9574,-0.38%,开放申购,开放赎回
2020-03-16,1.1209,1.9393,-1.59%,开放申购,开放赎回
2020-03-17,1.1197,1.9381,-0.11%,开放申购,开放赎回
2020-03-18,1.1139,1.9323,-0.52%,开放申购,开放赎回
2020-03-19,1.1082,1.9266,-0.51%,开放申购,开放赎回
2020-03-20,1.1177,1.9361,0.86%,开放申购,开放赎回
2020-03-23,1.1048,1.9232,-1.15%,开放申购,开放赎回
2020-03-24,1.1166,1.9350,1.07%,开放申购,开放赎回
2020-03-25,1.1315,1.9499,1.33%,开放申购,开放赎回
2020-03-26,1.1319,1.9503,0.04%,开放申购,开放赎回
2020-03-27,1.1306,1.9490,-0.11%,开放申购,开放赎回
2020-03-30,1.1241,1.9425,-0.57%,开放申购,开放赎回
2020-03-31,1.1349,1.9533,0.96%,开放申购,开放赎回
2020-04-01,1.1307,1.9491,-0.37%,开放申购,开放赎回
2020-04-02,1.1354,1.9538,0.42%,开放申购,开放赎回
2020-04-03,1.1358,1.9542,0.04%,开放申购,开放赎回
2020-04-07,1.1506,1.9690,1.30%,开放申购,开放赎回
2020-04-08,1.1453,1.9637,-0.46%,开放申购,开放赎回
2020-04-09,1.1551,1.9735,0.86%,开放申购,开放赎回
2020-04-10,1.1502,1.9686,-0.42%,开放申购,开放赎回
2020-04-13,1.1510,1.9694,0.07%,开放申购,开放赎回
2020-04-14,1.1620,1.9804,0.96%,开放申购,开放赎回
2020-04-15,1.1589,1.9773,-0.27%,开放申购,开放赎回
2020-04-16,1.1620,1.9804,0.27%,开放申购,开放赎回
2020-04-17,1.1642,1.9826,0.19%,开放申购,开放赎回
2020-04-20,1.1749,1.9933,0.92%,开放申购,开放赎回
2020-04-21,1.1659,1.9843,-0.77%,开放申购,开放赎回
2020-04-22,1.1798,1.9982,1.19%,开放申购,开放赎回
2020-04-23,1.1794,1.9978,-0.03%,开放申购,开放赎回
2020-04-24,1.1708,1.9892,-0.73%,开放申购,开放赎回
2020-04-27,1.1806,1.9990,0.84%,开放申购,开放赎回
2020-04-28,1.1918,2.0102,0.95%,开放申购,开放赎回
2020-04-29,1.1870,2.0054,-0.40%,开放申购,开放赎回
2020-04-30,1.1852,2.0036,-0.15%,开放申购,开放赎回
2020-05-06,1.1947,2.0131,0.80%,开放申购,开放赎回
2020-05-07,1.1997,2.0181,0.42%,开放申购,开放赎回
2020-05-08,1.2087,2.0271,0.75%,开放申购,开放赎回
2020-05-11,1.2052,2.0236,-0.29%,开放申购,开放赎回
2020-05-12,1.2197,2.0381,1.20%,开放申购,开放赎回
2020-05-13,1.2310,2.0494,0.93%,开放申购,开放赎回
2020-05-14,1.2279,2.0463,-0.25%,开放申购,开放赎回
2020-05-15,1.2236,2.0420,-0.35%,开放申购,开放赎回
2020-05-18,1.2358,2.0542,1.00%,开放申购,开放赎回
2020-05-19,1.2485,2.0669,1.03%,开放申购,开放赎回
2020-05-20,1.2416,2.0600,-0.55%,开放申购,开放赎回
2020-05-21,1.2375,2.0559,-0.33%,开放申购,开放赎回
2020-05-22,1.2134,2.0318,-1.95%,开放申购,开放赎回
2020-05-25,1.2278,2.0462,1.19%,开放申购,开放赎回
2020-05-26,1.2503,2.0687,1.83%,开放申购,开放赎回
2020-05-27,1.2361,2.0545,-1.14%,开放申购,开放赎回
2020-05-28,1.2354,2.0538,-0.06%,开放申购,开放赎回
2020-05-29,1.2554,2.0738,1.62%,开放申购,开放赎回
2020-06-01,1.2757,2.0941,1.62%,开放申购,开放赎回
2020-06-02,1.2609,2.0793,-1.16%,开放申购,开放赎回
2020-06-03,1.2660,2.0844,0.40%,开放申购,开放赎回
2020-06-04,1.2754,2.0938,0.74%,开放申购,开放赎回
2020-06-05,1.2770,2.0954,0.13%,开放申购,开放赎回
2020-06-08,1.2691,2.0875,-0.62%,开放申购,开放赎回
2020-06-09,1.2835,2.1019,1.13%,开放申购,开放赎回
2020-06-10,1.2939,2.1123,0.81%,开放申购,开放赎回
2020-06-11,1.2848,2.1032,-0.70%,开放申购,开放赎回
2020-06-12,1.2908,2.1092,0.47%,开放申购,开放赎回
2020-06-15,1.2784,2.0968,-0.96%,开放申购,开放赎回
2020-06-16,1.3055,2.1239,2.12%,开放申购,开放赎回
2020-06-17,1.3067,2.1251,0.09%,开放申购,开放赎回
2020-06-18,1.3052,2.1236,-0.11%,开放申购,开放赎回
2020-06-19,1.3234,2.1418,1.39%,开放申购,开放赎回
2020-06-22,1.3153,2.1337,-0.61%,开放申购,开放赎回
2020-06-23,1.3327,2.1511,1.32%,开放申购,开放赎回
2020-06-24,1.3357,2.1541,0.23%,开放申购,开放赎回
2020-06-29,1.3300,2.1484,-0.43%,开放申购,开放赎回
2020-06-30,1.3508,2.1692,1.56%,开放申购,开放赎回
2020-07-01,1.3507,2.1691,-0.01%,开放申购,开放赎回
2020-07-02,1.3585,2.1769,0.58%,开放申购,开放赎回
2020-07-03,1.3698,2.1882,0.83%,开放申购,开放赎回
2020-07-06,1.3847,2.2031,1.09%,开放申购,开放赎回
2020-07-07,1.3977,2.2161,0.94%,开放申购,开放赎回
2020-07-08,1.4250,2.2434,1.95%,开放申购,开放赎回
2020-07-09,1.4446,2.2630,1.38%,开放申购,开放赎回
2020-07-10,1.4454,2.2638,0.06%,开放申购,开放赎回
2020-07-13,1.4730,2.2914,1.91%,开放申购,开放赎回
2020-07-14,1.4592,2.2776,-0.94%,开放申购,开放赎回
2020-07-15,1.4692,2.2876,0.69%,开放申购,开放赎回
2020-07-16,1.3954,2.2138,-5.02%,开放申购,开放赎回
2020-07-17,1.4217,2.2401,1.88%,开放申购,开放赎回
2020-07-20,1.4302,2.2486,0.60%,开放申购,开放赎回
2020-07-21,1.4576,2.2760,1.92%,开放申购,开放赎回
2020-07-22,1.4635,2.2819,0.40%,开放申购,开放赎回
2020-07-23,1.4759,2.2943,0.85%,开放申购,开放赎回
2020-07-24,1.4145,2.2329,-4.16%,开放申购,开放赎回
2020-07-27,1.4124,2.2308,-0.15%,开放申购,开放赎回
