2019-02-25,1.0000,1.0000,0%,封闭期,封闭期
2019-02-26,1.0016,1.0016,0.16%,开放申购,开放赎回
2019-02-27,0.9980,0.9980,-0.36%,开放申购,开放赎回
2019-02-28,1.0008,1.0008,0.28%,开放申购,开放赎回
2019-03-01,1.0075,1.0075,0.67%,开放申购,开放赎回
2019-03-04,1.0211,1.0211,1.35%,开放申购,开放赎回
2019-03-05,1.0438,1.0438,2.22%,开放申购,开放赎回
2019-03-06,1.0588,1.0588,1.44%,开放申购,开放赎回
2019-03-07,1.0676,1.0676,0.83%,开放申购,开放赎回
2019-03-08,1.0297,1.0297,-3.55%,开放申购,开放赎回
2019-03-11,1.0672,1.0672,3.64%,开放申购,开放赎回
2019-03-12,1.0807,1.0807,1.27%,开放申购,开放赎回
2019-03-13,1.0626,1.0626,-1.67%,开放申购,开放赎回
2019-03-14,1.0440,1.0440,-1.75%,开放申购,开放赎回
2019-03-15,1.0574,1.0574,1.28%,开放申购,开放赎回
2019-03-18,1.0852,1.0852,2.63%,开放申购,开放赎回
2019-03-19,1.0876,1.0876,0.22%,开放申购,开放赎回
2019-03-20,1.0868,1.0868,-0.07%,开放申购,开放赎回
2019-03-21,1.0975,1.0975,0.98%,开放申购,开放赎回
2019-03-22,1.1024,1.1024,0.45%,开放申购,开放赎回
2019-03-25,1.0895,1.0895,-1.17%,开放申购,开放赎回
2019-03-26,1.0635,1.0635,-2.39%,开放申购,开放赎回
2019-03-27,1.0727,1.0727,0.87%,开放申购,开放赎回
2019-03-28,1.0610,1.0610,-1.09%,开放申购,开放赎回
2019-03-29,1.0929,1.0929,3.01%,开放申购,开放赎回
2019-04-01,1.1281,1.1281,3.22%,开放申购,开放赎回
2019-04-02,1.1304,1.1304,0.20%,开放申购,开放赎回
2019-04-03,1.1446,1.1446,1.26%,开放申购,开放赎回
2019-04-04,1.1511,1.1511,0.57%,开放申购,开放赎回
2019-04-08,1.1477,1.1477,-0.30%,开放申购,开放赎回
2019-04-09,1.1494,1.1494,0.15%,开放申购,开放赎回
2019-04-10,1.1517,1.1517,0.20%,开放申购,开放赎回
2019-04-11,1.1310,1.1310,-1.80%,开放申购,开放赎回
