2016-08-10,1.0000,1.0000,0%,封闭期,封闭期
2016-10-26,1.0000,1.0000,0%,开放申购,开放赎回
2016-10-27,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-10-28,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-10-31,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-01,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-02,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-03,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-04,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-07,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-08,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-09,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-10,1.0000,1.0000,0.00%,开放申购,开放赎回
2016-11-11,0.9990,0.9990,-0.10%,开放申购,开放赎回
2016-11-14,0.9990,0.9990,0.00%,开放申购,开放赎回
2016-11-15,0.9990,0.9990,0.00%,开放申购,开放赎回
2016-11-16,0.9990,0.9990,0.00%,开放申购,开放赎回
2016-11-17,0.9980,0.9980,-0.10%,开放申购,开放赎回
2016-11-18,0.9980,0.9980,0.00%,开放申购,开放赎回
2016-11-21,0.9970,0.9970,-0.10%,开放申购,开放赎回
2016-11-22,0.9970,0.9970,0.00%,开放申购,开放赎回
2016-11-23,0.9970,0.9970,0.00%,开放申购,开放赎回
2016-11-24,0.9970,0.9970,0.00%,开放申购,开放赎回
2016-11-25,0.9970,0.9970,0.00%,开放申购,开放赎回
2016-11-28,0.9970,0.9970,0.00%,开放申购,开放赎回
2016-11-29,0.9970,0.9970,0.00%,开放申购,开放赎回
2016-11-30,0.9950,0.9950,-0.20%,开放申购,开放赎回
2016-12-01,0.9940,0.9940,-0.10%,开放申购,开放赎回
2016-12-02,0.9930,0.9930,-0.10%,开放申购,开放赎回
2016-12-05,0.9930,0.9930,0.00%,开放申购,开放赎回
2016-12-06,0.9920,0.9920,-0.10%,开放申购,开放赎回
2016-12-07,0.9920,0.9920,0.00%,开放申购,开放赎回
2016-12-08,0.9930,0.9930,0.10%,开放申购,开放赎回
2016-12-09,0.9920,0.9920,-0.10%,开放申购,开放赎回
2016-12-12,0.9899,0.9899,-0.21%,开放申购,开放赎回
2016-12-13,0.9889,0.9889,-0.10%,开放申购,开放赎回
2016-12-14,0.9879,0.9879,-0.10%,开放申购,开放赎回
2016-12-15,0.9849,0.9849,-0.30%,开放申购,开放赎回
2016-12-16,0.9839,0.9839,-0.10%,开放申购,开放赎回
2016-12-19,0.9829,0.9829,-0.10%,开放申购,开放赎回
2016-12-20,0.9819,0.9819,-0.10%,开放申购,开放赎回
2016-12-21,0.9839,0.9839,0.20%,开放申购,开放赎回
2016-12-22,0.9849,0.9849,0.10%,开放申购,开放赎回
2016-12-23,0.9859,0.9859,0.10%,开放申购,开放赎回
2016-12-26,0.9859,0.9859,0.00%,开放申购,开放赎回
2016-12-27,0.9869,0.9869,0.10%,开放申购,开放赎回
2016-12-28,0.9869,0.9869,0.00%,开放申购,开放赎回
2016-12-29,0.9879,0.9879,0.10%,开放申购,开放赎回
2016-12-30,0.9889,0.9889,0.10%,开放申购,开放赎回
2016-12-31,0.9889,0.9889,0.00%,开放申购,开放赎回
2017-01-03,0.9889,0.9889,0.00%,开放申购,开放赎回
2017-01-04,0.9899,0.9899,0.10%,开放申购,开放赎回
2017-01-05,0.9899,0.9899,0.00%,开放申购,开放赎回
2017-01-06,0.9899,0.9899,0.00%,开放申购,开放赎回
2017-01-09,0.9899,0.9899,0.00%,开放申购,开放赎回
2017-01-10,0.9909,0.9909,0.10%,开放申购,开放赎回
2017-01-11,0.9909,0.9909,0.00%,开放申购,开放赎回
2017-01-12,0.9899,0.9899,-0.10%,开放申购,开放赎回
2017-01-13,0.9899,0.9899,0.00%,开放申购,开放赎回
2017-01-16,0.9899,0.9899,0.00%,开放申购,开放赎回
2017-01-17,0.9889,0.9889,-0.10%,开放申购,开放赎回
2017-01-18,0.9879,0.9879,-0.10%,开放申购,开放赎回
2017-01-19,0.9869,0.9869,-0.10%,开放申购,开放赎回
2017-01-20,0.9879,0.9879,0.10%,开放申购,开放赎回
2017-01-23,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-01-24,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-01-25,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-01-26,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-02-03,0.9869,0.9869,-0.10%,开放申购,开放赎回
2017-02-06,0.9869,0.9869,0.00%,开放申购,开放赎回
2017-02-07,0.9859,0.9859,-0.10%,开放申购,开放赎回
2017-02-08,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-02-09,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-02-10,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-02-13,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-02-14,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-02-15,0.9849,0.9849,-0.10%,开放申购,开放赎回
2017-02-16,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-02-17,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-02-20,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-02-21,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-02-22,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-02-23,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-02-24,0.9859,0.9859,0.10%,开放申购,开放赎回
2017-02-27,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-02-28,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-01,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-02,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-03,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-06,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-07,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-08,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-09,0.9849,0.9849,-0.10%,开放申购,开放赎回
2017-03-10,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-03-13,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-03-14,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-03-15,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-03-16,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-03-17,0.9849,0.9849,0.00%,开放申购,开放赎回
2017-03-20,0.9859,0.9859,0.10%,开放申购,开放赎回
2017-03-21,0.9859,0.9859,0.00%,开放申购,开放赎回
2017-03-22,0.9869,0.9869,0.10%,开放申购,开放赎回
2017-03-23,0.9879,0.9879,0.10%,开放申购,开放赎回
2017-03-24,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-03-27,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-03-28,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-03-29,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-03-30,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-03-31,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-05,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-06,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-07,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-10,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-11,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-12,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-13,0.9879,0.9879,0.00%,开放申购,开放赎回
2017-04-14,0.9874,0.9874,-0.05%,开放申购,开放赎回
2017-04-17,0.9862,0.9862,-0.12%,开放申购,开放赎回
