2017-02-16,1.0000,1.0000,0%,封闭期,封闭期
2017-05-08,1.0327,1.0327,0%,开放申购,开放赎回
2017-05-09,1.0317,1.0317,-0.10%,开放申购,开放赎回
2017-05-10,1.0315,1.0315,-0.02%,开放申购,开放赎回
2017-05-11,1.0351,1.0351,0.35%,开放申购,开放赎回
2017-05-12,1.0370,1.0370,0.18%,开放申购,开放赎回
2017-05-15,1.0395,1.0395,0.24%,开放申购,开放赎回
2017-05-16,1.0438,1.0438,0.41%,开放申购,开放赎回
2017-05-17,1.0411,1.0411,-0.26%,开放申购,开放赎回
2017-05-18,1.0423,1.0423,0.12%,开放申购,开放赎回
2017-05-19,1.0440,1.0440,0.16%,开放申购,开放赎回
2017-05-22,1.0456,1.0456,0.15%,开放申购,开放赎回
2017-05-23,1.0488,1.0488,0.31%,开放申购,开放赎回
2017-05-24,1.0480,1.0480,-0.08%,开放申购,开放赎回
2017-05-25,1.0481,1.0481,0.01%,开放申购,开放赎回
2017-05-26,1.0494,1.0494,0.12%,开放申购,开放赎回
2017-05-31,1.0524,1.0524,0.29%,开放申购,开放赎回
2017-06-01,1.0544,1.0544,0.19%,开放申购,开放赎回
2017-06-02,1.0526,1.0526,-0.17%,开放申购,开放赎回
2017-06-05,1.0498,1.0498,-0.27%,开放申购,开放赎回
2017-06-06,1.0544,1.0544,0.44%,开放申购,开放赎回
2017-06-07,1.0589,1.0589,0.43%,开放申购,开放赎回
2017-06-08,1.0630,1.0630,0.39%,开放申购,开放赎回
2017-06-09,1.0639,1.0639,0.08%,开放申购,开放赎回
2017-06-12,1.0669,1.0669,0.28%,开放申购,开放赎回
2017-06-13,1.0676,1.0676,0.07%,开放申购,开放赎回
2017-06-14,1.0628,1.0628,-0.45%,开放申购,开放赎回
2017-06-15,1.0596,1.0596,-0.30%,开放申购,开放赎回
2017-06-16,1.0595,1.0595,-0.01%,开放申购,开放赎回
2017-06-19,1.0626,1.0626,0.29%,开放申购,开放赎回
2017-06-20,1.0605,1.0605,-0.20%,开放申购,开放赎回
2017-06-21,1.0666,1.0666,0.58%,开放申购,开放赎回
2017-06-22,1.0659,1.0659,-0.07%,开放申购,开放赎回
2017-06-23,1.0702,1.0702,0.40%,开放申购,开放赎回
2017-06-26,1.0758,1.0758,0.52%,开放申购,开放赎回
2017-06-27,1.0769,1.0769,0.10%,开放申购,开放赎回
2017-06-28,1.0739,1.0739,-0.28%,开放申购,开放赎回
2017-06-29,1.0748,1.0748,0.08%,开放申购,开放赎回
2017-06-30,1.0754,1.0754,0.06%,开放申购,开放赎回
2017-07-03,1.0733,1.0733,-0.20%,开放申购,开放赎回
2017-07-04,1.0708,1.0708,-0.23%,开放申购,开放赎回
2017-07-05,1.0748,1.0748,0.37%,开放申购,开放赎回
2017-07-06,1.0749,1.0749,0.01%,开放申购,开放赎回
2017-07-07,1.0740,1.0740,-0.08%,开放申购,开放赎回
2017-07-10,1.0715,1.0715,-0.23%,开放申购,开放赎回
2017-07-11,1.0751,1.0751,0.34%,开放申购,开放赎回
2017-07-12,1.0730,1.0730,-0.20%,开放申购,开放赎回
2017-07-13,1.0735,1.0735,0.05%,开放申购,开放赎回
2017-07-14,1.0761,1.0761,0.24%,开放申购,开放赎回
2017-07-17,1.0728,1.0728,-0.31%,开放申购,开放赎回
2017-07-18,1.0731,1.0731,0.03%,开放申购,开放赎回
2017-07-19,1.0758,1.0758,0.25%,开放申购,开放赎回
2017-07-20,1.0790,1.0790,0.30%,开放申购,开放赎回
2017-07-21,1.0788,1.0788,-0.02%,开放申购,开放赎回
2017-07-24,1.0802,1.0802,0.13%,开放申购,开放赎回
2017-07-25,1.0794,1.0794,-0.07%,开放申购,开放赎回
2017-07-26,1.0751,1.0751,-0.40%,开放申购,开放赎回
2017-07-27,1.0747,1.0747,-0.04%,开放申购,开放赎回
2017-07-28,1.0767,1.0767,0.19%,开放申购,开放赎回
2017-07-31,1.0768,1.0768,0.01%,开放申购,开放赎回
2017-08-01,1.0786,1.0786,0.17%,开放申购,开放赎回
2017-08-02,1.0776,1.0776,-0.09%,开放申购,开放赎回
2017-08-03,1.0736,1.0736,-0.37%,开放申购,开放赎回
2017-08-04,1.0718,1.0718,-0.17%,开放申购,开放赎回
2017-08-07,1.0740,1.0740,0.21%,开放申购,开放赎回
2017-08-08,1.0737,1.0737,-0.03%,开放申购,开放赎回
2017-08-09,1.0764,1.0764,0.25%,开放申购,开放赎回
2017-08-10,1.0763,1.0763,-0.01%,开放申购,开放赎回
2017-08-11,1.0727,1.0727,-0.33%,开放申购,开放赎回
2017-08-14,1.0747,1.0747,0.19%,开放申购,开放赎回
2017-08-15,1.0755,1.0755,0.07%,开放申购,开放赎回
2017-08-16,1.0743,1.0743,-0.11%,开放申购,开放赎回
2017-08-17,1.0743,1.0743,0.00%,开放申购,开放赎回
2017-08-18,1.0749,1.0749,0.06%,开放申购,开放赎回
2017-08-21,1.0755,1.0755,0.06%,开放申购,开放赎回
2017-08-22,1.0752,1.0752,-0.03%,开放申购,开放赎回
2017-08-23,1.0764,1.0764,0.11%,开放申购,开放赎回
2017-08-24,1.0757,1.0757,-0.07%,开放申购,开放赎回
2017-08-25,1.0782,1.0782,0.23%,开放申购,开放赎回
2017-08-28,1.0810,1.0810,0.26%,开放申购,开放赎回
2017-08-29,1.0795,1.0795,-0.14%,开放申购,开放赎回
2017-08-30,1.0802,1.0802,0.06%,开放申购,开放赎回
2017-08-31,1.0778,1.0778,-0.22%,开放申购,开放赎回
2017-09-01,1.0772,1.0772,-0.06%,开放申购,开放赎回
2017-09-04,1.0770,1.0770,-0.02%,开放申购,开放赎回
2017-09-05,1.0775,1.0775,0.05%,开放申购,开放赎回
2017-09-06,1.0765,1.0765,-0.09%,开放申购,开放赎回
2017-09-07,1.0773,1.0773,0.07%,开放申购,开放赎回
2017-09-08,1.0782,1.0782,0.08%,开放申购,开放赎回
2017-09-11,1.0785,1.0785,0.03%,开放申购,开放赎回
2017-09-12,1.0794,1.0794,0.08%,开放申购,开放赎回
2017-09-13,1.0807,1.0807,0.12%,开放申购,开放赎回
2017-09-14,1.0801,1.0801,-0.06%,开放申购,开放赎回
2017-09-15,1.0803,1.0803,0.02%,开放申购,开放赎回
2017-09-18,1.0813,1.0813,0.09%,开放申购,开放赎回
2017-09-19,1.0798,1.0798,-0.14%,开放申购,开放赎回
2017-09-20,1.0802,1.0802,0.04%,开放申购,开放赎回
2017-09-21,1.0799,1.0799,-0.03%,开放申购,开放赎回
2017-09-22,1.0818,1.0818,0.18%,开放申购,开放赎回
2017-09-25,1.0827,1.0827,0.08%,开放申购,开放赎回
2017-09-26,1.0823,1.0823,-0.04%,开放申购,开放赎回
2017-09-27,1.0826,1.0826,0.03%,开放申购,开放赎回
2017-09-28,1.0826,1.0826,0.00%,开放申购,开放赎回
2017-09-29,1.0830,1.0830,0.04%,开放申购,开放赎回
2017-10-09,1.0874,1.0874,0.41%,开放申购,开放赎回
2017-10-10,1.0877,1.0877,0.03%,开放申购,开放赎回
2017-10-11,1.0922,1.0922,0.41%,开放申购,开放赎回
2017-10-12,1.0930,1.0930,0.07%,开放申购,开放赎回
2017-10-13,1.0943,1.0943,0.12%,开放申购,开放赎回
2017-10-16,1.0922,1.0922,-0.19%,开放申购,开放赎回
2017-10-17,1.0928,1.0928,0.05%,开放申购,开放赎回
2017-10-18,1.0981,1.0981,0.49%,开放申购,开放赎回
2017-10-19,1.1000,1.1000,0.17%,开放申购,开放赎回
2017-10-20,1.0979,1.0979,-0.19%,开放申购,开放赎回
2017-10-23,1.0981,1.0981,0.02%,开放申购,开放赎回
2017-10-24,1.1015,1.1015,0.31%,开放申购,开放赎回
2017-10-25,1.1029,1.1029,0.13%,开放申购,开放赎回
2017-10-26,1.1024,1.1024,-0.05%,开放申购,开放赎回
2017-10-27,1.1054,1.1054,0.27%,开放申购,开放赎回
2017-10-30,1.1071,1.1071,0.15%,开放申购,开放赎回
2017-10-31,1.1053,1.1053,-0.16%,开放申购,开放赎回
2017-11-01,1.1051,1.1051,-0.02%,开放申购,开放赎回
2017-11-02,1.1070,1.1070,0.17%,开放申购,开放赎回
2017-11-03,1.1061,1.1061,-0.08%,开放申购,开放赎回
2017-11-06,1.1115,1.1115,0.49%,开放申购,开放赎回
2017-11-07,1.1127,1.1127,0.11%,开放申购,开放赎回
2017-11-08,1.1114,1.1114,-0.12%,开放申购,开放赎回
