2020-02-18,1.0049,1.0049,0%,封闭期,封闭期
2020-02-19,0.9956,0.9956,-0.93%,开放申购,开放赎回
2020-02-20,1.0162,1.0162,2.07%,开放申购,开放赎回
2020-02-21,1.0288,1.0288,1.24%,开放申购,开放赎回
2020-02-24,1.0419,1.0419,1.27%,开放申购,开放赎回
2020-02-25,1.0471,1.0471,0.50%,开放申购,开放赎回
2020-02-26,1.0220,1.0220,-2.40%,开放申购,开放赎回
2020-02-27,1.0236,1.0236,0.16%,开放申购,开放赎回
2020-02-28,0.9742,0.9742,-4.83%,开放申购,开放赎回
2020-03-02,1.0076,1.0076,3.43%,开放申购,开放赎回
2020-03-03,1.0163,1.0163,0.86%,开放申购,开放赎回
2020-03-04,1.0174,1.0174,0.11%,开放申购,开放赎回
2020-03-05,1.0312,1.0312,1.36%,开放申购,开放赎回
2020-03-06,1.0251,1.0251,-0.59%,开放申购,开放赎回
2020-03-09,0.9859,0.9859,-3.82%,开放申购,开放赎回
2020-03-10,1.0104,1.0104,2.49%,开放申购,开放赎回
2020-03-11,0.9964,0.9964,-1.39%,开放申购,开放赎回
2020-03-12,0.9806,0.9806,-1.59%,开放申购,开放赎回
2020-03-13,0.9746,0.9746,-0.61%,开放申购,开放赎回
2020-03-16,0.9322,0.9322,-4.35%,开放申购,开放赎回
2020-03-17,0.9342,0.9342,0.21%,开放申购,开放赎回
2020-03-18,0.9199,0.9199,-1.53%,开放申购,开放赎回
2020-03-19,0.9256,0.9256,0.62%,开放申购,开放赎回
2020-03-20,0.9358,0.9358,1.10%,开放申购,开放赎回
2020-03-23,0.8996,0.8996,-3.87%,开放申购,开放赎回
2020-03-24,0.9156,0.9156,1.78%,开放申购,开放赎回
2020-03-25,0.9357,0.9357,2.20%,开放申购,开放赎回
2020-03-26,0.9272,0.9272,-0.91%,开放申购,开放赎回
2020-03-27,0.9225,0.9225,-0.51%,开放申购,开放赎回
2020-03-30,0.9044,0.9044,-1.96%,开放申购,开放赎回
2020-03-31,0.9067,0.9067,0.25%,开放申购,开放赎回
2020-04-01,0.9030,0.9030,-0.41%,开放申购,开放赎回
2020-04-02,0.9241,0.9241,2.34%,开放申购,开放赎回
2020-04-03,0.9174,0.9174,-0.73%,开放申购,开放赎回
2020-04-07,0.9439,0.9439,2.89%,开放申购,开放赎回
2020-04-08,0.9447,0.9447,0.08%,开放申购,开放赎回
2020-04-09,0.9531,0.9531,0.89%,开放申购,开放赎回
2020-04-10,0.9341,0.9341,-1.99%,开放申购,开放赎回
2020-04-13,0.9275,0.9275,-0.71%,开放申购,开放赎回
2020-04-14,0.9474,0.9474,2.15%,开放申购,开放赎回
2020-04-15,0.9441,0.9441,-0.35%,开放申购,开放赎回
2020-04-16,0.9521,0.9521,0.85%,开放申购,开放赎回
2020-04-17,0.9523,0.9523,0.02%,开放申购,开放赎回
2020-04-20,0.9624,0.9624,1.06%,开放申购,开放赎回
2020-04-21,0.9563,0.9563,-0.63%,开放申购,开放赎回
2020-04-22,0.9635,0.9635,0.75%,开放申购,开放赎回
2020-04-23,0.9585,0.9585,-0.52%,开放申购,开放赎回
2020-04-24,0.9446,0.9446,-1.45%,开放申购,开放赎回
2020-04-27,0.9432,0.9432,-0.15%,开放申购,开放赎回
2020-04-28,0.9370,0.9370,-0.66%,开放申购,开放赎回
2020-04-29,0.9369,0.9369,-0.01%,开放申购,开放赎回
2020-04-30,0.9580,0.9580,2.25%,开放申购,开放赎回
2020-05-06,0.9740,0.9740,1.67%,开放申购,开放赎回
2020-05-07,0.9731,0.9731,-0.09%,开放申购,开放赎回
2020-05-08,0.9833,0.9833,1.05%,开放申购,开放赎回
2020-05-11,0.9814,0.9814,-0.19%,开放申购,开放赎回
2020-05-12,0.9841,0.9841,0.28%,开放申购,开放赎回
2020-05-13,0.9882,0.9882,0.42%,开放申购,开放赎回
2020-05-14,0.9800,0.9800,-0.83%,开放申购,开放赎回
2020-05-15,0.9837,0.9837,0.38%,开放申购,开放赎回
2020-05-18,0.9790,0.9790,-0.48%,开放申购,开放赎回
2020-05-19,0.9905,0.9905,1.17%,开放申购,开放赎回
2020-05-20,0.9810,0.9810,-0.96%,开放申购,开放赎回
2020-05-21,0.9706,0.9706,-1.06%,开放申购,开放赎回
2020-05-22,0.9544,0.9544,-1.67%,开放申购,开放赎回
2020-05-25,0.9524,0.9524,-0.21%,开放申购,开放赎回
2020-05-26,0.9697,0.9697,1.82%,开放申购,开放赎回
2020-05-27,0.9614,0.9614,-0.86%,开放申购,开放赎回
2020-05-28,0.9604,0.9604,-0.10%,开放申购,开放赎回
2020-05-29,0.9683,0.9683,0.82%,开放申购,开放赎回
2020-06-01,0.9956,0.9956,2.82%,开放申购,开放赎回
2020-06-02,0.9951,0.9951,-0.05%,开放申购,开放赎回
2020-06-03,0.9961,0.9961,0.10%,开放申购,开放赎回
2020-06-04,0.9970,0.9970,0.09%,开放申购,开放赎回
2020-06-05,0.9987,0.9987,0.17%,开放申购,开放赎回
2020-06-08,0.9970,0.9970,-0.17%,开放申购,开放赎回
2020-06-09,1.0030,1.0030,0.60%,开放申购,开放赎回
2020-06-10,1.0039,1.0039,0.09%,开放申购,开放赎回
2020-06-11,1.0000,1.0000,-0.39%,开放申购,开放赎回
2020-06-12,0.9998,0.9998,-0.02%,开放申购,开放赎回
2020-06-15,0.9993,0.9993,-0.05%,开放申购,开放赎回
2020-06-16,1.0167,1.0167,1.74%,开放申购,开放赎回
2020-06-17,1.0233,1.0233,0.65%,开放申购,开放赎回
2020-06-18,1.0233,1.0233,0.00%,开放申购,开放赎回
2020-06-19,1.0327,1.0327,0.92%,开放申购,开放赎回
2020-06-22,1.0323,1.0323,-0.04%,开放申购,开放赎回
2020-06-23,1.0358,1.0358,0.34%,开放申购,开放赎回
2020-06-24,1.0338,1.0338,-0.19%,开放申购,开放赎回
2020-06-29,1.0296,1.0296,-0.41%,开放申购,开放赎回
2020-06-30,1.0468,1.0468,1.67%,开放申购,开放赎回
2020-07-01,1.0498,1.0498,0.29%,开放申购,开放赎回
2020-07-02,1.0654,1.0654,1.49%,开放申购,开放赎回
2020-07-03,1.0784,1.0784,1.22%,开放申购,开放赎回
2020-07-06,1.1238,1.1238,4.21%,开放申购,开放赎回
2020-07-07,1.1374,1.1374,1.21%,开放申购,开放赎回
2020-07-08,1.1639,1.1639,2.33%,开放申购,开放赎回
2020-07-09,1.1978,1.1978,2.91%,开放申购,开放赎回
2020-07-10,1.1951,1.1951,-0.23%,开放申购,开放赎回
2020-07-13,1.2275,1.2275,2.71%,开放申购,开放赎回
2020-07-14,1.2119,1.2119,-1.27%,开放申购,开放赎回
2020-07-15,1.1843,1.1843,-2.28%,开放申购,开放赎回
2020-07-16,1.1319,1.1319,-4.42%,开放申购,开放赎回
2020-07-17,1.1363,1.1363,0.39%,开放申购,开放赎回
2020-07-20,1.1668,1.1668,2.68%,开放申购,开放赎回
2020-07-21,1.1727,1.1727,0.51%,开放申购,开放赎回
2020-07-22,1.1823,1.1823,0.82%,开放申购,开放赎回
2020-07-23,1.1824,1.1824,0.01%,开放申购,开放赎回
2020-07-24,1.1266,1.1266,-4.72%,开放申购,开放赎回
2020-07-27,1.1291,1.1291,0.22%,开放申购,开放赎回
2020-07-28,1.1392,1.1392,0.89%,开放申购,开放赎回
2020-07-29,1.1678,1.1678,2.51%,开放申购,开放赎回
2020-07-30,1.1648,1.1648,-0.26%,开放申购,开放赎回
2020-07-31,1.1763,1.1763,0.99%,开放申购,开放赎回
2020-08-03,1.2030,1.2030,2.27%,开放申购,开放赎回
2020-08-04,1.1961,1.1961,-0.57%,开放申购,开放赎回
2020-08-05,1.2086,1.2086,1.05%,开放申购,开放赎回
2020-08-06,1.2082,1.2082,-0.03%,开放申购,开放赎回
2020-08-07,1.1947,1.1947,-1.12%,开放申购,开放赎回
2020-08-10,1.2007,1.2007,0.50%,开放申购,开放赎回
2020-08-11,1.1801,1.1801,-1.72%,开放申购,开放赎回
2020-08-12,1.1681,1.1681,-1.02%,开放申购,开放赎回
2020-08-13,1.1722,1.1722,0.35%,开放申购,开放赎回
2020-08-14,1.1842,1.1842,1.02%,开放申购,开放赎回
