2021-03-17,1.1048,1.1048,0.38%,开放申购,开放赎回
2021-03-18,1.1078,1.1078,0.27%,开放申购,开放赎回
2021-03-19,1.0987,1.0987,-0.82%,开放申购,开放赎回
2021-03-22,1.1019,1.1019,0.29%,开放申购,开放赎回
2021-03-23,1.0956,1.0956,-0.57%,开放申购,开放赎回
2021-03-24,1.0908,1.0908,-0.44%,开放申购,开放赎回
2021-03-25,1.0919,1.0919,0.10%,开放申购,开放赎回
2021-03-26,1.1018,1.1018,0.91%,开放申购,开放赎回
2021-03-29,1.1007,1.1007,-0.10%,开放申购,开放赎回
2021-03-30,1.1049,1.1049,0.38%,开放申购,开放赎回
2021-03-31,1.1030,1.1030,-0.17%,开放申购,开放赎回
2021-04-01,1.1066,1.1066,0.33%,开放申购,开放赎回
2021-04-02,1.1104,1.1104,0.34%,开放申购,开放赎回
2021-04-06,1.1100,1.1100,-0.04%,开放申购,开放赎回
2021-04-07,1.1053,1.1053,-0.42%,开放申购,开放赎回
