2015-06-19,0.9994,0.9994,0%,封闭期,封闭期
2015-06-23,1.0026,1.0026,0.32%,开放申购,开放赎回
2015-06-24,1.0034,1.0034,0.08%,开放申购,开放赎回
2015-06-25,0.9991,0.9991,-0.43%,开放申购,开放赎回
2015-06-26,0.9903,0.9903,-0.88%,开放申购,开放赎回
2015-06-29,0.9873,0.9873,-0.30%,开放申购,开放赎回
2015-06-30,0.9938,0.9938,0.66%,开放申购,开放赎回
2015-07-01,0.9885,0.9885,-0.53%,开放申购,开放赎回
2015-07-02,0.9845,0.9845,-0.40%,开放申购,开放赎回
2015-07-03,0.9764,0.9764,-0.82%,开放申购,开放赎回
2015-07-06,0.9780,0.9780,0.16%,开放申购,开放赎回
2015-07-07,0.9723,0.9723,-0.58%,开放申购,开放赎回
2015-07-08,0.9643,0.9643,-0.82%,开放申购,开放赎回
2015-07-09,0.9718,0.9718,0.78%,开放申购,开放赎回
2015-07-10,0.9783,0.9783,0.67%,开放申购,开放赎回
2015-07-13,0.9817,0.9817,0.35%,开放申购,开放赎回
2015-07-14,0.9789,0.9789,-0.29%,开放申购,开放赎回
2015-07-15,0.9740,0.9740,-0.50%,开放申购,开放赎回
2015-07-16,0.9764,0.9764,0.25%,开放申购,开放赎回
2015-07-17,0.9839,0.9839,0.77%,开放申购,开放赎回
2015-07-20,0.9867,0.9867,0.28%,开放申购,开放赎回
2015-07-21,0.9880,0.9880,0.13%,开放申购,开放赎回
2015-07-22,0.9883,0.9883,0.03%,开放申购,开放赎回
2015-07-23,0.9924,0.9924,0.41%,开放申购,开放赎回
2015-07-24,0.9908,0.9908,-0.16%,开放申购,开放赎回
2015-07-27,0.9757,0.9757,-1.52%,开放申购,开放赎回
2015-07-28,0.9762,0.9762,0.05%,开放申购,开放赎回
2015-07-29,0.9823,0.9823,0.62%,开放申购,开放赎回
2015-07-30,0.9780,0.9780,-0.44%,开放申购,开放赎回
2015-07-31,0.9778,0.9778,-0.02%,开放申购,开放赎回
2015-08-03,0.9779,0.9779,0.01%,开放申购,开放赎回
2015-08-04,0.9841,0.9841,0.63%,开放申购,开放赎回
2015-08-05,0.9840,0.9840,-0.01%,开放申购,开放赎回
2015-08-06,0.9828,0.9828,-0.12%,开放申购,开放赎回
2015-08-07,0.9863,0.9863,0.36%,开放申购,开放赎回
2015-08-10,0.9935,0.9935,0.73%,开放申购,开放赎回
2015-08-11,0.9934,0.9934,-0.01%,开放申购,开放赎回
2015-08-12,0.9906,0.9906,-0.28%,开放申购,开放赎回
2015-08-13,0.9984,0.9984,0.79%,开放申购,开放赎回
2015-08-14,0.9985,0.9985,0.01%,开放申购,开放赎回
2015-08-17,1.0008,1.0008,0.23%,开放申购,开放赎回
2015-08-18,0.9881,0.9881,-1.27%,开放申购,开放赎回
2015-08-19,0.9902,0.9902,0.21%,开放申购,开放赎回
2015-08-20,0.9858,0.9858,-0.44%,开放申购,开放赎回
2015-08-21,0.9763,0.9763,-0.96%,开放申购,开放赎回
2015-08-24,0.9633,0.9633,-1.33%,开放申购,开放赎回
2015-08-25,0.9559,0.9559,-0.77%,开放申购,开放赎回
2015-08-26,0.9554,0.9554,-0.05%,开放申购,开放赎回
2015-08-27,0.9625,0.9625,0.74%,开放申购,开放赎回
