2019-12-20,1.0000,1.0000,0%,封闭期,封闭期
2019-12-27,1.0021,1.0021,0%,开放申购,开放赎回
2019-12-30,1.0562,1.0562,5.40%,开放申购,开放赎回
2019-12-31,1.0515,1.0515,-0.45%,开放申购,开放赎回
2020-01-02,1.0568,1.0568,0.50%,开放申购,开放赎回
2020-01-03,1.0552,1.0552,-0.15%,开放申购,开放赎回
2020-01-06,1.0566,1.0566,0.13%,开放申购,开放赎回
2020-01-07,1.0633,1.0633,0.63%,开放申购,开放赎回
2020-01-08,1.0317,1.0317,-2.97%,开放申购,开放赎回
2020-01-09,1.0451,1.0451,1.30%,开放申购,开放赎回
2020-01-10,1.0460,1.0460,0.09%,开放申购,开放赎回
2020-01-13,1.0594,1.0594,1.28%,开放申购,开放赎回
2020-01-14,1.0467,1.0467,-1.20%,开放申购,开放赎回
2020-01-15,1.0416,1.0416,-0.49%,开放申购,开放赎回
2020-01-16,1.0365,1.0365,-0.49%,开放申购,开放赎回
2020-01-17,1.0393,1.0393,0.27%,开放申购,开放赎回
2020-01-20,1.0544,1.0544,1.45%,开放申购,开放赎回
2020-01-21,1.0352,1.0352,-1.82%,开放申购,开放赎回
2020-01-22,1.0428,1.0428,0.73%,开放申购,开放赎回
2020-01-23,1.0007,1.0007,-4.04%,开放申购,开放赎回
2020-02-03,0.9187,0.9187,-8.19%,开放申购,开放赎回
2020-02-04,0.9197,0.9197,0.11%,开放申购,开放赎回
2020-02-05,0.9305,0.9305,1.17%,开放申购,开放赎回
2020-02-06,0.9506,0.9506,2.16%,开放申购,开放赎回
2020-02-07,0.9534,0.9534,0.29%,开放申购,开放赎回
2020-02-10,0.9620,0.9620,0.90%,开放申购,开放赎回
2020-02-11,0.9598,0.9598,-0.23%,开放申购,开放赎回
2020-02-12,0.9731,0.9731,1.39%,开放申购,开放赎回
2020-02-13,0.9581,0.9581,-1.54%,开放申购,开放赎回
2020-02-14,0.9737,0.9737,1.63%,开放申购,开放赎回
2020-02-17,1.0189,1.0189,4.64%,开放申购,开放赎回
2020-02-18,1.0129,1.0129,-0.59%,开放申购,开放赎回
2020-02-19,1.0152,1.0152,0.23%,开放申购,开放赎回
2020-02-20,1.0757,1.0757,5.96%,开放申购,开放赎回
2020-02-21,1.0759,1.0759,0.02%,开放申购,开放赎回
2020-02-24,1.0753,1.0753,-0.06%,开放申购,开放赎回
2020-02-25,1.0857,1.0857,0.97%,开放申购,开放赎回
2020-02-26,1.0653,1.0653,-1.88%,开放申购,开放赎回
2020-02-27,1.0663,1.0663,0.09%,开放申购,开放赎回
2020-02-28,1.0025,1.0025,-5.98%,开放申购,开放赎回
2020-03-02,1.0472,1.0472,4.46%,开放申购,开放赎回
2020-03-03,1.0567,1.0567,0.91%,开放申购,开放赎回
2020-03-04,1.0856,1.0856,2.73%,开放申购,开放赎回
2020-03-05,1.1141,1.1141,2.63%,开放申购,开放赎回
2020-03-06,1.0766,1.0766,-3.37%,开放申购,开放赎回
2020-03-09,1.0469,1.0469,-2.76%,开放申购,开放赎回
2020-03-10,1.0772,1.0772,2.89%,开放申购,开放赎回
2020-03-11,1.0476,1.0476,-2.75%,开放申购,开放赎回
